cik,company_name,taxonomy,concept,unit,value,start_date,end_date,accn,fy,fp,form,filed_date,frame
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,15516000000.0,,2013-06-29,0001193125-13-300670,2013,Q3,10-Q,2013-07-24,CY2013Q2I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,22367000000.0,,2013-09-28,0001193125-13-416534,2013,FY,10-K,2013-10-30,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,22367000000.0,,2013-09-28,0001193125-14-024487,2014,Q1,10-Q,2014-01-28,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,22367000000.0,,2013-09-28,0001193125-14-157311,2014,Q2,10-Q,2014-04-24,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,22367000000.0,,2013-09-28,0001193125-14-277160,2014,Q3,10-Q,2014-07-23,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,22367000000.0,,2013-09-28,0001193125-14-383437,2014,FY,10-K,2014-10-27,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,22367000000.0,,2013-09-28,0001193125-15-023732,2014,FY,8-K,2015-01-28,CY2013Q3I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,29588000000.0,,2013-12-28,0001193125-14-024487,2014,Q1,10-Q,2014-01-28,CY2013Q4I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,18914000000.0,,2014-03-29,0001193125-14-157311,2014,Q2,10-Q,2014-04-24,CY2014Q1I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,20535000000.0,,2014-06-28,0001193125-14-277160,2014,Q3,10-Q,2014-07-23,CY2014Q2I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,30196000000.0,,2014-09-27,0001193125-14-383437,2014,FY,10-K,2014-10-27,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,30196000000.0,,2014-09-27,0001193125-15-023697,2015,Q1,10-Q,2015-01-28,
